distribution,x,pdf
"Beta(2,2)",0.5650000000000001,1.4746499767290584
"Beta(2,2)",0.5660000000000001,1.4738639767414619
"Beta(2,2)",0.5670000000000001,1.4730659767540546
"Beta(2,2)",0.5680000000000001,1.4722559767668368
"Beta(2,2)",0.5690000000000001,1.4714339767798088
"Beta(2,2)",0.5700000000000001,1.47059997679297
"Beta(2,2)",0.5710000000000001,1.4697539768063201
"Beta(2,2)",0.5720000000000001,1.46889597681986
"Beta(2,2)",0.5730000000000001,1.4680259768335893
"Beta(2,2)",0.5740000000000001,1.4671439768475076
"Beta(2,2)",0.5750000000000001,1.4662499768616155
"Beta(2,2)",0.5760000000000001,1.465343976875913
"Beta(2,2)",0.577,1.4644259768903998
"Beta(2,2)",0.578,1.4634959769050757
"Beta(2,2)",0.579,1.4625539769199412
"Beta(2,2)",0.58,1.4615999769349957
"Beta(2,2)",0.581,1.4606339769502399
"Beta(2,2)",0.582,1.4596559769656734
"Beta(2,2)",0.583,1.458665976981296
"Beta(2,2)",0.584,1.4576639769971085
"Beta(2,2)",0.585,1.4566499770131098
"Beta(2,2)",0.586,1.4556239770293007
"Beta(2,2)",0.587,1.454585977045681
"Beta(2,2)",0.588,1.453535977062251
"Beta(2,2)",0.589,1.4524739770790098
"Beta(2,2)",0.59,1.4513999770959585
"Beta(2,2)",0.591,1.4503139771130964
