estimator,quantile,n,distribution,efficiency
HD,0.03,6,"Beta(2,10)",1.105858751916359
HD,0.03,6,"Normal(0,1^2)",1.0624065388962245
HD,0.03,6,"Weibull(1,2)",1.0956697646652
HD,0.03,6,"Exp(1)",1.1427165540585966
HD,0.03,6,"Cauchy(0,1)",0.7903125994957371
HD,0.03,6,"Pareto(1,0.5)",1.0039893428385238
HD,0.03,6,"LogNormal(0,3^2)",1.3048882539472983
HD,0.03,6,"Weibull(1,0.5)",1.2237514169603938
HD,0.03,6,"Exp(1) + Outliers",0.8516989786857124
HD,0.03,7,"Uniform(0,1)",1.1416992300272986
HD,0.03,7,"Beta(2,10)",1.12286762356072
HD,0.03,7,"Normal(0,1^2)",1.0646717151520357
HD,0.03,7,"Weibull(1,2)",1.111541627654802
HD,0.03,7,"Exp(1)",1.1676480311667106
HD,0.03,7,"Cauchy(0,1)",0.7500553813542081
HD,0.03,7,"Pareto(1,0.5)",1.1765802163239187
HD,0.03,7,"LogNormal(0,3^2)",1.366160110322525
HD,0.03,7,"Weibull(1,0.5)",1.2825316395946504
HD,0.03,7,"Exp(1) + Outliers",1.141358019528651
HD,0.03,8,"Uniform(0,1)",1.1712274293123406
HD,0.03,8,"Beta(2,10)",1.1481336643219167
HD,0.03,8,"Normal(0,1^2)",1.0636924986913041
HD,0.03,8,"Weibull(1,2)",1.1282287338178705
HD,0.03,8,"Exp(1)",1.1951032458131077
HD,0.03,8,"Cauchy(0,1)",0.7103637621174913
HD,0.03,8,"Pareto(1,0.5)",1.2898889660302977
HD,0.03,8,"LogNormal(0,3^2)",1.395250496252838
HD,0.03,8,"Weibull(1,0.5)",1.2855325834365054
HD,0.03,8,"Exp(1) + Outliers",1.1754460756033018
HD,0.03,9,"Uniform(0,1)",1.1974106669011022
HD,0.03,9,"Beta(2,10)",1.1639517982589576
HD,0.03,9,"Normal(0,1^2)",1.073506511256941
HD,0.03,9,"Weibull(1,2)",1.1519383351431185
HD,0.03,9,"Exp(1)",1.2224306769699598
HD,0.03,9,"Cauchy(0,1)",0.6740947525681306
HD,0.03,9,"Pareto(1,0.5)",1.2912164041912328
HD,0.03,9,"LogNormal(0,3^2)",1.4740282750991416
HD,0.03,9,"Weibull(1,0.5)",1.3601936154710774
HD,0.03,9,"Exp(1) + Outliers",1.2198736194693662
HD,0.03,10,"Uniform(0,1)",1.2149722523361934
HD,0.03,10,"Beta(2,10)",1.1841095619492927
HD,0.03,10,"Normal(0,1^2)",1.0718196418706638
HD,0.03,10,"Weibull(1,2)",1.1621622734733612
HD,0.03,10,"Exp(1)",1.2479940958782643
HD,0.03,10,"Cauchy(0,1)",0.6346543638304608
HD,0.03,10,"Pareto(1,0.5)",1.3008216828547716
HD,0.03,10,"LogNormal(0,3^2)",1.4060872400099902
