probs,eff,estimator,n,distribution
0.72,63.5817799602787,hl,30,Cauchy
0.74,68.5579267865682,hl,30,Cauchy
0.76,74.6800468905761,hl,30,Cauchy
0.78,81.9505018640177,hl,30,Cauchy
0.8,92.2354526797864,hl,30,Cauchy
0.82,105.63520257122,hl,30,Cauchy
0.84,122.206924232078,hl,30,Cauchy
0.86,145.81534286453,hl,30,Cauchy
0.88,179.394667437798,hl,30,Cauchy
0.9,233.366239471363,hl,30,Cauchy
