estimator,quantile,n,distribution,efficiency
HD,0.02,40,"Pareto(1,0.5)",1.7601001731629673
HD,0.02,40,"LogNormal(0,3^2)",1.7673291715213926
HD,0.02,40,"Exp(1) + Outliers",1.7435223936872724
HD,0.04,2,"Beta(2,10)",1.0453009445754535
HD,0.04,2,"Uniform(0,1)",1.0310085401833997
HD,0.04,2,"Normal(0,1^2)",1.0292642386962885
HD,0.04,2,"Weibull(1,2)",1.0388313342447084
HD,0.04,2,"Cauchy(0,1)",0.9568383609634135
HD,0.04,2,"Pareto(1,0.5)",15.184834814293412
HD,0.04,2,"LogNormal(0,3^2)",6.474965681077796
HD,0.04,2,"Exp(1) + Outliers",1.268026103731802
HD,0.04,3,"Beta(2,10)",1.0693418285511478
HD,0.04,3,"Uniform(0,1)",1.0611826681859797
HD,0.04,3,"Normal(0,1^2)",1.0428400709257768
HD,0.04,3,"Weibull(1,2)",1.061808323403464
HD,0.04,3,"Cauchy(0,1)",0.8907899097744556
HD,0.04,3,"Pareto(1,0.5)",0.027286865025060864
HD,0.04,3,"LogNormal(0,3^2)",1.330392548344947
HD,0.04,3,"Exp(1) + Outliers",10.541484836164514
HD,0.04,4,"Beta(2,10)",1.0935562183939227
HD,0.04,4,"Uniform(0,1)",1.0935311143968487
HD,0.04,4,"Normal(0,1^2)",1.0572055914690384
HD,0.04,4,"Weibull(1,2)",1.0824645999577178
HD,0.04,4,"Cauchy(0,1)",0.832271198544293
HD,0.04,4,"Pareto(1,0.5)",0.016106948817671874
HD,0.04,4,"LogNormal(0,3^2)",1.3395993823843304
HD,0.04,4,"Exp(1) + Outliers",0.0886180800108867
HD,0.04,5,"Beta(2,10)",1.1195770479016243
HD,0.04,5,"Uniform(0,1)",1.1266304421095699
HD,0.04,5,"Normal(0,1^2)",1.0645317936983998
HD,0.04,5,"Weibull(1,2)",1.1006073921868755
HD,0.04,5,"Cauchy(0,1)",0.7801190219705694
HD,0.04,5,"Pareto(1,0.5)",0.13327214327532652
HD,0.04,5,"LogNormal(0,3^2)",1.5824103134534704
HD,0.04,5,"Exp(1) + Outliers",0.2859855006628141
HD,0.04,6,"Beta(2,10)",1.1460460722356955
HD,0.04,6,"Uniform(0,1)",1.1521361709228009
HD,0.04,6,"Normal(0,1^2)",1.0741226310979748
HD,0.04,6,"Weibull(1,2)",1.1241259333549278
HD,0.04,6,"Cauchy(0,1)",0.7272435260999167
HD,0.04,6,"Pareto(1,0.5)",0.7368646375318003
HD,0.04,6,"LogNormal(0,3^2)",1.5623983471803236
HD,0.04,6,"Exp(1) + Outliers",0.8897359026759978
HD,0.04,7,"Beta(2,10)",1.1654863161684061
HD,0.04,7,"Uniform(0,1)",1.1885593944245512
HD,0.04,7,"Normal(0,1^2)",1.0711661289161407
HD,0.04,7,"Weibull(1,2)",1.151895805329667
HD,0.04,7,"Cauchy(0,1)",0.6758189232976667
HD,0.04,7,"Pareto(1,0.5)",1.3158337975651917
HD,0.04,7,"LogNormal(0,3^2)",1.4308801565113736
HD,0.04,7,"Exp(1) + Outliers",1.1864710129091394
HD,0.04,8,"Beta(2,10)",1.1931608748758782
HD,0.04,8,"Uniform(0,1)",1.2257346873912052
HD,0.04,8,"Normal(0,1^2)",1.0774280830541867
HD,0.04,8,"Weibull(1,2)",1.1740893093406186
HD,0.04,8,"Cauchy(0,1)",0.6262231002343354
HD,0.04,8,"Pareto(1,0.5)",1.3270330832964565
HD,0.04,8,"LogNormal(0,3^2)",1.4462927811932913
HD,0.04,8,"Exp(1) + Outliers",1.2409142566295133
HD,0.04,9,"Beta(2,10)",1.220534389766663
HD,0.04,9,"Uniform(0,1)",1.258328304803161
HD,0.04,9,"Normal(0,1^2)",1.077772164813151
HD,0.04,9,"Weibull(1,2)",1.1878000956778256
HD,0.04,9,"Cauchy(0,1)",0.5771310998664856
HD,0.04,9,"Pareto(1,0.5)",1.3995733922940508
HD,0.04,9,"LogNormal(0,3^2)",1.5456322728361824
HD,0.04,9,"Exp(1) + Outliers",1.2961981145205297
HD,0.04,10,"Beta(2,10)",1.2498061114733103
HD,0.04,10,"Uniform(0,1)",1.3028911460394257
HD,0.04,10,"Normal(0,1^2)",1.0577532047176446
HD,0.04,10,"Weibull(1,2)",1.2107195243294437
HD,0.04,10,"Cauchy(0,1)",0.5297146847727432
HD,0.04,10,"Pareto(1,0.5)",1.4131556231575433
HD,0.04,10,"LogNormal(0,3^2)",1.5841150548257268
HD,0.04,10,"Exp(1) + Outliers",1.3379449727733468
HD,0.04,11,"Beta(2,10)",1.2746137693636157
HD,0.04,11,"Uniform(0,1)",1.3396925142612792
HD,0.04,11,"Normal(0,1^2)",1.0793850482750407
HD,0.04,11,"Weibull(1,2)",1.2554772017472235
HD,0.04,11,"Cauchy(0,1)",0.4829954236323638
HD,0.04,11,"Pareto(1,0.5)",1.4367324407958328
HD,0.04,11,"LogNormal(0,3^2)",1.5244414513631823
HD,0.04,11,"Exp(1) + Outliers",1.386567895556834
HD,0.04,12,"Beta(2,10)",1.3076206505884378
HD,0.04,12,"Uniform(0,1)",1.3699439408033842
HD,0.04,12,"Normal(0,1^2)",1.064378950214587
HD,0.04,12,"Weibull(1,2)",1.2761216870292316
HD,0.04,12,"Cauchy(0,1)",0.4388742001691715
HD,0.04,12,"Pareto(1,0.5)",1.4904131908790885
HD,0.04,12,"LogNormal(0,3^2)",1.615988710188679
HD,0.04,12,"Exp(1) + Outliers",1.412103481254871
HD,0.04,13,"Beta(2,10)",1.3382944611984762
HD,0.04,13,"Uniform(0,1)",1.3962999375371956
HD,0.04,13,"Normal(0,1^2)",1.0462232459356742
HD,0.04,13,"Weibull(1,2)",1.2930412340181945
HD,0.04,13,"Cauchy(0,1)",0.3933943430196709
HD,0.04,13,"Pareto(1,0.5)",1.6018436705936345
HD,0.04,13,"LogNormal(0,3^2)",1.693110153345717
HD,0.04,13,"Exp(1) + Outliers",1.4798509959720734
HD,0.04,14,"Beta(2,10)",1.363643140543739
HD,0.04,14,"Uniform(0,1)",1.4562242352335344
HD,0.04,14,"Normal(0,1^2)",1.0509078834677548
HD,0.04,14,"Weibull(1,2)",1.3137874535190455
HD,0.04,14,"Cauchy(0,1)",0.34769836692796247
HD,0.04,14,"Pareto(1,0.5)",1.5999616565886605
HD,0.04,14,"LogNormal(0,3^2)",1.579959071451122
HD,0.04,14,"Exp(1) + Outliers",1.4747391403138395
HD,0.04,15,"Beta(2,10)",1.389305547501331
HD,0.04,15,"Uniform(0,1)",1.5231686265397626
HD,0.04,15,"Normal(0,1^2)",1.0423266804790565
HD,0.04,15,"Weibull(1,2)",1.3442269843029893
HD,0.04,15,"Cauchy(0,1)",0.3076943525896895
HD,0.04,15,"Pareto(1,0.5)",1.5603804554102305
HD,0.04,15,"LogNormal(0,3^2)",1.7186302954388388
HD,0.04,15,"Exp(1) + Outliers",1.4966216134015764
HD,0.04,16,"Beta(2,10)",1.429342913013157
HD,0.04,16,"Uniform(0,1)",1.5386589780277442
HD,0.04,16,"Normal(0,1^2)",1.0674364531922789
HD,0.04,16,"Weibull(1,2)",1.3849796932015972
HD,0.04,16,"Cauchy(0,1)",0.26666630907879635
HD,0.04,16,"Pareto(1,0.5)",1.5975125839921742
HD,0.04,16,"LogNormal(0,3^2)",1.668706965498006
HD,0.04,16,"Exp(1) + Outliers",1.5535570883031584
HD,0.04,17,"Beta(2,10)",1.445878938206725
HD,0.04,17,"Uniform(0,1)",1.5918626849008968
HD,0.04,17,"Normal(0,1^2)",1.053163620567497
HD,0.04,17,"Weibull(1,2)",1.4189076092824733
HD,0.04,17,"Cauchy(0,1)",0.2278312703845224
HD,0.04,17,"Pareto(1,0.5)",1.5909651916278067
HD,0.04,17,"LogNormal(0,3^2)",1.7885073379928975
HD,0.04,17,"Exp(1) + Outliers",1.6165750979306373
HD,0.04,18,"Beta(2,10)",1.4525106254387472
HD,0.04,18,"Uniform(0,1)",1.630978705073736
HD,0.04,18,"Normal(0,1^2)",1.053995323754391
HD,0.04,18,"Weibull(1,2)",1.434709988497434
HD,0.04,18,"Cauchy(0,1)",0.18681119034524107
HD,0.04,18,"Pareto(1,0.5)",1.6569670955093914
HD,0.04,18,"LogNormal(0,3^2)",1.6567702293868536
HD,0.04,18,"Exp(1) + Outliers",1.6369481000009538
HD,0.04,19,"Beta(2,10)",1.5038680749529771
HD,0.04,19,"Uniform(0,1)",1.7012344364982197
HD,0.04,19,"Normal(0,1^2)",1.0291781686430064
HD,0.04,19,"Weibull(1,2)",1.460162856425444
HD,0.04,19,"Cauchy(0,1)",0.1539801727112233
HD,0.04,19,"Pareto(1,0.5)",1.6912400570444008
HD,0.04,19,"LogNormal(0,3^2)",1.736538989607613
HD,0.04,19,"Exp(1) + Outliers",1.68632530271307
HD,0.04,20,"Beta(2,10)",1.5709238280131703
HD,0.04,20,"Uniform(0,1)",1.734610544139459
HD,0.04,20,"Normal(0,1^2)",1.057611471095556
HD,0.04,20,"Weibull(1,2)",1.4953020598830895
HD,0.04,20,"Cauchy(0,1)",0.1206494913829919
HD,0.04,20,"Pareto(1,0.5)",1.7448097920454761
HD,0.04,20,"LogNormal(0,3^2)",1.6920017933649554
HD,0.04,20,"Exp(1) + Outliers",1.7563278749389721
HD,0.04,21,"Beta(2,10)",1.5877414592057857
HD,0.04,21,"Uniform(0,1)",1.7820880247108928
